hashtag,"nr of tweets with hashtag","distinct users for hashtag","distinct mentions with hashtag","total mentions with hashtag","nr of tweets in selection","nr of users in selection"
giletsjaunes,1619,1115,79,138,1613,1116
musulmans,9,9,0,0,1613,1116
emmanuelmacron,24,24,0,0,1613,1116
priscillialudoski,23,23,0,0,1613,1116
defenseurdesdroits,2,2,1,2,1613,1116
acte19,20,18,1,1,1613,1116
acte20,157,113,10,21,1613,1116
actexix,13,12,0,0,1613,1116
actexx,117,63,0,0,1613,1116
belloubet,2,2,0,0,1613,1116
ric,47,23,2,5,1613,1116
giletjaune,65,59,0,0,1613,1116
yellowvests,104,90,3,5,1613,1116
chalecosamarillos,49,49,1,46,1613,1116
gelbewesten,46,46,0,0,1613,1116
asselineau,24,24,0,0,1613,1116
macron,169,144,2,6,1613,1116
débat,9,9,4,5,1613,1116
luttedesclasses,9,9,0,0,1613,1116
cestpasnouslesrageux,9,9,0,0,1613,1116
ecologie,3,3,0,0,1613,1116
frexit,10,8,2,2,1613,1116
brexit,2,2,2,2,1613,1116
upr,1,1,0,0,1613,1116
pascal,1,1,1,1,1613,1116
regime,16,16,3,16,1613,1116
granddébatnational,20,20,0,0,1613,1116
femmesgiletsjaunes,34,12,0,0,1613,1116
stylosrouges,35,11,0,0,1613,1116
isf,27,10,0,0,1613,1116
blousesblanches,22,8,13,40,1613,1116
français,11,2,0,0,1613,1116
battremonnaie,2,1,0,0,1613,1116
gjnice,14,4,0,0,1613,1116
gj,21,7,0,0,1613,1116
giletsjaunes75,13,3,0,0,1613,1116
violencespolicieres,13,8,0,0,1613,1116
macroncomplicedupire,17,9,0,0,1613,1116
macrondemission,8,5,0,0,1613,1116
macrondestitution,8,4,0,0,1613,1116
rn,1,1,0,0,1613,1116
mutilésdelamacronie,2,2,0,0,1613,1116
nioublienipardon,2,2,0,0,1613,1116
repression,13,13,0,0,1613,1116
assembleenationale,12,12,0,0,1613,1116
jveuxdusoleil,14,14,0,0,1613,1116
securiteroutiere,4,4,3,3,1613,1116
angers,12,11,0,0,1613,1116
profsgiletsjaunes,24,7,0,0,1613,1116
chouard,7,7,0,0,1613,1116
europeennes2019,2,2,0,0,1613,1116
nice,48,48,0,0,1613,1116
rodrigues,17,17,0,0,1613,1116
genevievelegay,26,26,0,0,1613,1116
légionétrangère,1,1,0,0,1613,1116
granddebat,5,5,0,0,1613,1116
poissy,3,3,0,0,1613,1116
balancetonpost,3,3,0,0,1613,1116
ai,3,3,0,0,1613,1116
larem,4,4,0,0,1613,1116
electionseuropeennes2019,4,4,0,0,1613,1116
artificialinteligence,1,1,0,0,1613,1116
brexitvote,1,1,0,0,1613,1116
brexitshambles,1,1,0,0,1613,1116
resist,1,1,0,0,1613,1116
trump,1,1,0,0,1613,1116
lgbt,1,1,0,0,1613,1116
vaucluse,2,2,0,0,1613,1116
avignon,3,3,0,0,1613,1116
patriotes,9,3,0,0,1613,1116
coluche,1,1,0,0,1613,1116
medias,16,16,1,16,1613,1116
sondages,18,18,1,18,1613,1116
acte18,10,10,0,0,1613,1116
conclusion,1,1,0,0,1613,1116
resistance,2,2,0,0,1613,1116
gilestjaunes,9,1,0,0,1613,1116
giletjaunes,8,4,0,0,1613,1116
giletsjaunesparis,8,3,2,2,1613,1116
giletsjauneseu,4,3,0,0,1613,1116
européen,1,1,0,0,1613,1116
sénat,1,1,0,0,1613,1116
assassins,1,1,0,0,1613,1116
voiture,1,1,0,0,1613,1116
automobile,1,1,0,0,1613,1116
policiers,4,4,1,4,1613,1116
montpellier,18,18,0,0,1613,1116
france,22,16,2,2,1613,1116
framing,2,2,0,0,1613,1116
gelbwesten,20,20,0,0,1613,1116
frankreich,1,1,0,0,1613,1116
breaking,8,8,0,0,1613,1116
champselysees,9,9,0,0,1613,1116
paris,31,26,0,0,1613,1116
retraites,9,9,1,4,1613,1116
palestine,9,9,0,0,1613,1116
gilletrouge,1,1,4,4,1613,1116
lille,4,4,0,0,1613,1116
rnational_off,1,1,0,0,1613,1116
partis,2,2,1,2,1613,1116
politiques,3,3,2,3,1613,1116
tweeter,4,4,1,3,1613,1116
tweeterworld,4,4,0,0,1613,1116
topchef,5,5,0,0,1613,1116
nbaextra,4,4,0,0,1613,1116
congresfnsea2019,4,4,1,3,1613,1116
loiseau,1,1,0,0,1613,1116
médias,1,1,1,1,1613,1116
granddebatnational,6,6,0,0,1613,1116
danslaserielesgj,1,1,0,0,1613,1116
stopgiletsjaunes,6,6,0,0,1613,1116
update,3,3,0,0,1613,1116
syndicats,3,3,1,3,1613,1116
macronades,3,3,1,3,1613,1116
onlacherien,6,6,0,0,1613,1116
afp,3,3,0,0,1613,1116
violencespolicières,4,4,0,0,1613,1116
streetmedic,1,1,1,1,1613,1116
morts,4,4,0,0,1613,1116
radars,9,9,2,3,1613,1116
leaders,1,1,1,1,1613,1116
moratoire,1,1,1,1,1613,1116
edouardphilippe,1,1,0,0,1613,1116
matignon,1,1,0,0,1613,1116
lrem,5,5,0,0,1613,1116
ferry,2,2,0,0,1613,1116
zenpp,3,3,0,0,1613,1116
rdls89,5,5,0,0,1613,1116
durand,5,5,0,0,1613,1116
bfmtv,4,4,2,2,1613,1116
motard,2,2,1,2,1613,1116
barrages,2,2,1,2,1613,1116
merdiastoutinfox,1,1,0,0,1613,1116
qanon,2,2,0,0,1613,1116
yellowjackets,1,1,1,1,1613,1116
draintheswamp,1,1,0,0,1613,1116
hrcratline,1,1,0,0,1613,1116
wwg1wga,2,2,0,0,1613,1116
banques,2,1,0,0,1613,1116
nationalisation,2,1,0,0,1613,1116
remigration,2,1,1,2,1613,1116
rsa,13,13,0,0,1613,1116
corbieres,2,2,0,0,1613,1116
roidelabite,2,2,0,0,1613,1116
lyon,3,3,0,0,1613,1116
rhône,1,1,0,0,1613,1116
radartvn,1,1,0,0,1613,1116
politique,8,8,6,6,1613,1116
mobilisation,1,1,1,1,1613,1116
interdite,1,1,1,1,1613,1116
champsélysées,1,1,0,0,1613,1116
samedi,1,1,1,1,1613,1116
russie,5,4,0,0,1613,1116
drôme,2,2,0,0,1613,1116
valence,3,3,0,0,1613,1116
trevilan,1,1,0,0,1613,1116
dinan,2,2,0,0,1613,1116
maire,1,1,0,0,1613,1116
revolution,2,2,3,5,1613,1116
yellowstorm,1,1,0,0,1613,1116
aveyron,1,1,0,0,1613,1116
casseurs,2,2,0,0,1613,1116
lr,1,1,0,0,1613,1116
macronie,2,2,0,0,1613,1116
voter,1,1,1,1,1613,1116
otreaveyron,1,1,0,0,1613,1116
em,5,5,0,0,1613,1116
vraidebat,2,2,0,0,1613,1116
dessindujour,1,1,0,0,1613,1116
crs,2,2,0,0,1613,1116
fleurs,1,1,1,1,1613,1116
benjamingriveaux,1,1,0,0,1613,1116
var,18,18,0,0,1613,1116
bandol,20,20,0,0,1613,1116
黄色いベスト,1,1,1,1,1613,1116
macronia,2,2,0,0,1613,1116
geneviève,1,1,0,0,1613,1116
seocamp,1,1,1,1,1613,1116
sentinelle,1,1,0,0,1613,1116
lesemajesté,2,2,0,0,1613,1116
emmaüs,2,2,1,2,1613,1116
lescar,2,2,1,2,1613,1116
pau,2,2,0,0,1613,1116
ruffin,2,2,0,0,1613,1116
vraispatriotes,1,1,0,0,1613,1116
rothschildmacron,1,1,0,0,1613,1116
fillon,1,1,0,0,1613,1116
heritage,1,1,0,0,1613,1116
réformeretraite,1,1,0,0,1613,1116
delevoye,1,1,0,0,1613,1116
europe,9,9,0,0,1613,1116
européens,1,1,0,0,1613,1116
violence,3,3,1,1,1613,1116
peuples,1,1,0,0,1613,1116
référendum,1,1,0,0,1613,1116
ue,3,3,0,0,1613,1116
pactedemarakech,2,1,0,0,1613,1116
grandest,1,1,0,0,1613,1116
genevièvedefontenay,1,1,0,0,1613,1116
con,3,1,0,0,1613,1116
quatennens,1,1,0,0,1613,1116
melenchon,1,1,0,0,1613,1116
macronenanjou,2,2,0,0,1613,1116
macroniste,1,1,2,2,1613,1116
killgj,1,1,2,2,1613,1116
saveyourinternet,1,1,0,0,1613,1116
freespeech,1,1,0,0,1613,1116
freeassange,1,1,0,0,1613,1116
nonamacron,6,1,0,0,1613,1116
enmarche,10,5,0,0,1613,1116
electionseuropéennes,6,1,0,0,1613,1116
infirmière,1,1,1,1,1613,1116
justicepolitise,1,1,1,1,1613,1116
unautremonde,1,1,0,0,1613,1116
maduro,1,1,0,0,1613,1116
election,1,1,0,0,1613,1116
justice,1,1,1,1,1613,1116
giletsjaunesdeliquants,1,1,1,1,1613,1116
bordeaux,15,14,1,1,1613,1116
fhaine,2,2,1,1,1613,1116
quenelle,2,2,0,0,1613,1116
montpelier,2,2,1,1,1613,1116
monsanto,1,1,0,0,1613,1116
glyphosate,1,1,1,1,1613,1116
direccte,4,4,0,0,1613,1116
montorgueil,2,2,0,0,1613,1116
commerçants,1,1,2,2,1613,1116
étiennechouard,1,1,0,0,1613,1116
didiermaïsto,1,1,0,0,1613,1116
haykshahinyan,1,1,0,0,1613,1116
btlv,1,1,0,0,1613,1116
fouquets,1,1,0,0,1613,1116
parisprotest,2,2,0,0,1613,1116
collard,1,1,0,0,1613,1116
marinelepen,1,1,0,0,1613,1116
juifs,1,1,0,0,1613,1116
islande,1,1,0,0,1613,1116
beaupreau,5,5,0,0,1613,1116
bhl,1,1,0,0,1613,1116
satanistes,1,1,0,0,1613,1116
président,1,1,0,0,1613,1116
pollution,14,14,1,13,1613,1116
assembléenationale,2,2,0,0,1613,1116
commission,2,2,0,0,1613,1116
wauquiez,1,1,0,0,1613,1116
manudégage,1,1,0,0,1613,1116
geleshesjes,1,1,0,0,1613,1116
noeu,1,1,0,0,1613,1116
straßburg,1,1,0,0,1613,1116
attac,2,2,0,0,1613,1116
yellowvest,5,5,0,0,1613,1116
argentinaexplota,4,3,0,0,1613,1116
franciarésiste,4,3,0,0,1613,1116
ruidazonacional,4,3,0,0,1613,1116
29m,4,3,0,0,1613,1116
juiciopoliticoamacri,1,1,0,0,1613,1116
elections,1,1,0,0,1613,1116
streetart,13,8,0,0,1613,1116
giletsjaune,2,2,0,0,1613,1116
franceprotests,3,3,0,0,1613,1116
onu,3,3,0,0,1613,1116
dictatureliberale,1,1,0,0,1613,1116
saintdizier,1,1,0,0,1613,1116
streetphotography,6,4,1,3,1613,1116
yellowvestsuk,1,1,0,0,1613,1116
leavemeansleave,1,1,0,0,1613,1116
frenchrevolution,1,1,0,0,1613,1116
gulavästar,1,1,0,0,1613,1116
protest,1,1,0,0,1613,1116
police,4,4,1,1,1613,1116
challenge,2,2,0,0,1613,1116
maitregims,1,1,0,0,1613,1116
chomeur,1,1,0,0,1613,1116
chômage,2,2,0,0,1613,1116
precarite,1,1,0,0,1613,1116
misere,1,1,0,0,1613,1116
pôleemploi,1,1,0,0,1613,1116
pauvrete,1,1,0,0,1613,1116
sdf,1,1,0,0,1613,1116
social,1,1,0,0,1613,1116
argent,1,1,0,0,1613,1116
richesse,1,1,0,0,1613,1116
egoisme,1,1,0,0,1613,1116
laissepourcompte,1,1,0,0,1613,1116
samedionarrive,4,4,1,3,1613,1116
révolte,2,2,0,0,1613,1116
manifestations,2,2,0,0,1613,1116
gave,2,2,0,0,1613,1116
charlesgave,2,2,0,0,1613,1116
ce,2,2,0,0,1613,1116
bruxelles,2,2,0,0,1613,1116
gopé,2,2,0,0,1613,1116
directives,2,2,0,0,1613,1116
réformes,2,2,0,0,1613,1116
europefédérale,1,1,0,0,1613,1116
oligarchie,1,1,0,0,1613,1116
élus,1,1,0,0,1613,1116
mafia,1,1,0,0,1613,1116
finance,1,1,0,0,1613,1116
fraude,1,1,0,0,1613,1116
corruption,1,1,0,0,1613,1116
complots,1,1,0,0,1613,1116
propagande,1,1,0,0,1613,1116
censure,1,1,0,0,1613,1116
division,1,1,0,0,1613,1116
répression,1,1,0,0,1613,1116
dictature,6,6,1,2,1613,1116
fascisme,1,1,0,0,1613,1116
gamelledor,2,1,1,2,1613,1116
macronpiegeacons,3,3,0,0,1613,1116
fi,2,2,0,0,1613,1116
insoumis,2,2,0,0,1613,1116
letalk,1,1,0,0,1613,1116
onarrive,1,1,0,0,1613,1116
energie,1,1,0,0,1613,1116
mort,1,1,0,0,1613,1116
brest,1,1,0,0,1613,1116
cacogne,1,1,0,0,1613,1116
dunkerque,2,2,0,0,1613,1116
castaner,3,3,0,0,1613,1116
wakker,1,1,0,0,1613,1116
unitednotdivided,1,1,0,0,1613,1116
wakeupworld,1,1,0,0,1613,1116
conferencedepresse,1,1,1,1,1613,1116
conseildeparis,1,1,0,0,1613,1116
rouen,1,1,0,0,1613,1116
fiorina,1,1,0,0,1613,1116
environnement,4,4,1,3,1613,1116
montech,4,4,0,0,1613,1116
cambrai,1,1,0,0,1613,1116
menilmontant,1,1,0,0,1613,1116
quartierpopulaire,1,1,0,0,1613,1116
garealarevanche,1,1,0,0,1613,1116
croissance,2,2,0,0,1613,1116
alibongo,1,1,0,0,1613,1116
liguedulol,1,1,0,0,1613,1116
granddébat,6,4,0,0,1613,1116
fonctionpublique,6,4,0,0,1613,1116
jaunes,1,1,2,2,1613,1116
actexviii,4,4,0,0,1613,1116
giletsjaunes83,1,1,5,5,1613,1116
lcidirect,1,1,0,0,1613,1116
lbd,1,1,0,0,1613,1116
trélivan,1,1,0,0,1613,1116
grèvegénéraleeducation,1,1,0,0,1613,1116
écologistes,1,1,1,1,1613,1116
1ermai,2,2,1,2,1613,1116
xijinping,1,1,0,0,1613,1116
humour,1,1,0,0,1613,1116
vraiesvoix,1,1,0,0,1613,1116
écologie,1,1,1,1,1613,1116
israël,1,1,0,0,1613,1116
laïcité,1,1,1,1,1613,1116
censored,1,1,0,0,1613,1116
conférence,3,3,0,0,1613,1116
pouvoirdachat,1,1,0,0,1613,1116
logement,1,1,0,0,1613,1116
sante,1,1,0,0,1613,1116
education,1,1,3,3,1613,1116
pleinemploi,1,1,0,0,1613,1116
actexvi,1,1,0,0,1613,1116
benallagate,2,2,0,0,1613,1116
pleinledos,1,1,0,0,1613,1116
stopradars,1,1,0,0,1613,1116
sondage,1,1,0,0,1613,1116
acte8,1,1,0,0,1613,1116
acte9,1,1,0,0,1613,1116
acteix,1,1,0,0,1613,1116
rtcash,1,1,0,0,1613,1116
deboutlopportunisme,1,1,0,0,1613,1116
sentinel,1,1,0,0,1613,1116
ergotchilds,1,1,0,0,1613,1116
revlovution,1,1,0,0,1613,1116
coleteamarelo,1,1,0,0,1613,1116
chalecoamarillo,1,1,0,0,1613,1116
armillagroga,1,1,0,0,1613,1116
giletgiallo,1,1,0,0,1613,1116
gelbeweste,1,1,0,0,1613,1116
tirsurlesmanifestants,1,1,0,0,1613,1116
génocide,1,1,0,0,1613,1116
macronstratégie,1,1,0,0,1613,1116
